test,UniqueID,Gene.Name,logFC,P.Value,Adj.P.Value
DEG.wk52,ENSG00000231105,ECE1-AS1,-0.176097603,0.00102708,0.008190869
DEG.wk52,ENSG00000231113,AL035587.1,-0.059577102,0.284579566,0.482036247
DEG.wk52,ENSG00000231125,AF129075.2,0.008830322,0.915174469,0.955768914
DEG.wk52,ENSG00000231154,MORF4L2-AS1,0.03639182,0.603710757,0.759363777
DEG.wk52,ENSG00000231160,KLF3-AS1,0.005938945,0.905599417,0.950394199
DEG.wk52,ENSG00000231170,AC002451.1,0.206777174,0.019277541,0.077671729
DEG.wk52,ENSG00000231177,LINC00852,-0.034686274,0.436291315,0.628991275
DEG.wk52,ENSG00000231187,AL356056.2,-0.070146289,0.338176558,0.538440025
DEG.wk52,ENSG00000231205,ZNF826P,0.071961122,0.241492678,0.434432669
DEG.wk52,ENSG00000231233,CFAP58-DT,-0.5512709,2.22e-11,1.16e-09
DEG.wk52,ENSG00000231234,SKP1P1,-0.710636447,0.003768469,0.022851702
DEG.wk52,ENSG00000231246,AL445426.1,0.09402109,0.408918887,0.603475954
DEG.wk52,ENSG00000231249,ITPR1-DT,0.186418856,0.101349886,0.247487679
DEG.wk52,ENSG00000231259,ANAPC1P2,0.056741174,0.551408262,0.721057036
DEG.wk52,ENSG00000231290,APCDD1L-DT,-0.224617015,0.089654156,0.227672552
DEG.wk52,ENSG00000231304,SGO1-AS1,-0.041172358,0.431947184,0.625065972
DEG.wk52,ENSG00000231305,AC112484.1,-0.05375731,0.609117238,0.762669839
DEG.wk52,ENSG00000231307,RPS3P2,-0.017741508,0.715851855,0.835083683
DEG.wk52,ENSG00000231312,MAP4K3-DT,-0.004941458,0.938123522,0.968870275
DEG.wk52,ENSG00000231340,ACTG1P10,0.140212127,0.149771349,0.320012627
DEG.wk52,ENSG00000231346,LINC01160,-0.120463398,0.297021448,0.495423712
DEG.wk52,ENSG00000231365,WARS2-AS1,0.033288335,0.400143208,0.59650677
DEG.wk52,ENSG00000231412,AC005392.2,-0.123800208,0.367231622,0.565324534
DEG.wk52,ENSG00000231419,LINC00689,-0.037303576,0.702432382,0.826184507
DEG.wk52,ENSG00000231466,AL022324.2,0.058823758,0.425610131,0.61925881
DEG.wk52,ENSG00000231473,RB1-DT,-0.01743092,0.85132824,0.918386306
DEG.wk52,ENSG00000231475,IGHV4-31,-0.59528607,6.11e-05,0.000788516
DEG.wk52,ENSG00000231500,RPS18,0.313467517,0.000277019,0.002816812
DEG.wk52,ENSG00000231507,LINC01353,-0.102260247,0.32734979,0.527644413
DEG.wk52,ENSG00000231527,FAM27C,-0.118737189,0.052870864,0.160329236
DEG.wk52,ENSG00000231528,FAM225A,-0.765096387,7.2e-09,2.55e-07
DEG.wk52,ENSG00000231551,AC245100.4,-0.083775661,0.110654973,0.262927875
DEG.wk52,ENSG00000231560,CLEC12A-AS1,-0.136969161,0.055121369,0.164945347
DEG.wk52,ENSG00000231566,LINC02595,-0.072303833,0.41129493,0.605529604
DEG.wk52,ENSG00000231584,FAHD2CP,0.050420539,0.420042298,0.613534564
DEG.wk52,ENSG00000231607,DLEU2,-0.130321837,0.006803094,0.035968852
DEG.wk52,ENSG00000231615,AL645568.2,-0.066280126,0.340688363,0.541549122
DEG.wk52,ENSG00000231621,ANKRD44-AS1,0.165467797,0.13446726,0.298712803
DEG.wk52,ENSG00000231663,COA6-AS1,-0.100787684,0.277516146,0.474015502
DEG.wk52,ENSG00000231672,DIRC3,-0.155024809,0.005189068,0.029144675
DEG.wk52,ENSG00000231680,LINC02723,-0.195389192,0.001616939,0.011728312
DEG.wk52,ENSG00000231682,LINC01891,-0.089476327,0.330432693,0.530806594
DEG.wk52,ENSG00000231697,NANOGP5,-0.114026948,0.072990153,0.199463823
DEG.wk52,ENSG00000231711,LINC00899,0.021418864,0.61720533,0.769034452
DEG.wk52,ENSG00000231721,LINC-PINT,-0.023794102,0.49020055,0.673640028
DEG.wk52,ENSG00000231728,TMSB15B-AS1,-0.049099348,0.399501898,0.596061833
DEG.wk52,ENSG00000231752,EMBP1,0.012993478,0.771993942,0.869290799
DEG.wk52,ENSG00000231769,AL035701.1,0.17632365,0.006902062,0.036408626
DEG.wk52,ENSG00000231770,TMEM44-AS1,0.005424531,0.900044225,0.946812663
DEG.wk52,ENSG00000231793,DOC2GP,-0.107563428,0.163770377,0.338584603
DEG.wk52,ENSG00000231794,AC009542.1,-0.352611727,0.003015488,0.019171094
DEG.wk52,ENSG00000231826,LINC01819,-0.198289558,0.050324346,0.15478303
